INSERT INTO Anggota (an_id, an_nama, an_jurusan, an_nrp, an_email, an_alamat, an_jenis_kelamin, an_tgl_regis) VALUES (1, 'Raihan Gunarto', 'Teknik Industri', 422474921250001, 'raihangunarto@gmail.com', '4654 Bernhard Terrace', 'P', '2022-04-30');
INSERT INTO Anggota (an_id, an_nama, an_jurusan, an_nrp, an_email, an_alamat, an_jenis_kelamin, an_tgl_regis) VALUES (23, 'Elma Putri', 'Psikologi', 422474921250023, 'elmaputri@gmail.com', '6508 Puspasari Summit', 'P', '2021-06-26');
INSERT INTO Anggota (an_id, an_nama, an_jurusan, an_nrp, an_email, an_alamat, an_jenis_kelamin, an_tgl_regis) VALUES (24, 'Farah Safitri M.Farm', 'Sistem Informasi', 422474921250024, 'farahsafitrim.farm@gmail.com', '954 Mahestri Rue', 'L', '2021-03-26');
INSERT INTO Anggota (an_id, an_nama, an_jurusan, an_nrp, an_email, an_alamat, an_jenis_kelamin, an_tgl_regis) VALUES (25, 'Artanto Waluyo', 'Teknik Elektro', 422474921250025, 'artantowaluyo@gmail.com', '7669 Augusta Estates', 'L', '2021-03-01');
INSERT INTO Anggota (an_id, an_nama, an_jurusan, an_nrp, an_email, an_alamat, an_jenis_kelamin, an_tgl_regis) VALUES (27, 'Salwa Yuliarti S.H.', 'Psikologi', 422474921250027, 'salwayuliartis.h.@gmail.com', '937 Curtis Skyway', 'L', '2021-01-29');
INSERT INTO Anggota (an_id, an_nama, an_jurusan, an_nrp, an_email, an_alamat, an_jenis_kelamin, an_tgl_regis) VALUES (26, 'Dian Hariyah', 'Psikologi', 422474921250026, 'dianhariyah@gmail.com', '550 Aqila Islands', 'P', '2022-03-08');
INSERT INTO Anggota (an_id, an_nama, an_jurusan, an_nrp, an_email, an_alamat, an_jenis_kelamin, an_tgl_regis) VALUES (28, 'Balijan Nashiruddin S.Farm', 'Teknik Elektro', 422474921250028, 'balijannashiruddins.farm@gmail.com', '6707 Oktavian Junction', 'L', '2022-10-22');
INSERT INTO Anggota (an_id, an_nama, an_jurusan, an_nrp, an_email, an_alamat, an_jenis_kelamin, an_tgl_regis) VALUES (29, 'Bagiya Faresta', 'Sistem Informasi', 422474921250029, 'bagiyafaresta@gmail.com', '198 Prabowo Park', 'L', '2021-05-18');
INSERT INTO Anggota (an_id, an_nama, an_jurusan, an_nrp, an_email, an_alamat, an_jenis_kelamin, an_tgl_regis) VALUES (30, 'Zelaya Permata', 'Psikologi', 422474921250030, 'zelayapermata@gmail.com', '953 Winarsih Parkway', 'L', '2021-12-05');
INSERT INTO Anggota (an_id, an_nama, an_jurusan, an_nrp, an_email, an_alamat, an_jenis_kelamin, an_tgl_regis) VALUES (31, 'Uli Melinda', 'Kedokteran', 422474921250031, 'ulimelinda@gmail.com', '192 Kale Village', 'L', '2021-10-05');
INSERT INTO Anggota (an_id, an_nama, an_jurusan, an_nrp, an_email, an_alamat, an_jenis_kelamin, an_tgl_regis) VALUES (32, 'Genta Astuti', 'Teknik Informatika', 422474921250032, 'gentaastuti@gmail.com', '43904 Rico Grove', 'L', '2022-03-07');
INSERT INTO Anggota (an_id, an_nama, an_jurusan, an_nrp, an_email, an_alamat, an_jenis_kelamin, an_tgl_regis) VALUES (33, 'Salwa Susanti', 'Manajemen', 422474921250033, 'salwasusanti@gmail.com', '6409 Steve Shores', 'L', '2022-01-28');
INSERT INTO Anggota (an_id, an_nama, an_jurusan, an_nrp, an_email, an_alamat, an_jenis_kelamin, an_tgl_regis) VALUES (34, 'Mursinin Yulianto', 'Teknik Elektro', 422474921250034, 'mursininyulianto@gmail.com', '30036 Benedict Heights', 'P', '2021-03-04');
INSERT INTO Anggota (an_id, an_nama, an_jurusan, an_nrp, an_email, an_alamat, an_jenis_kelamin, an_tgl_regis) VALUES (36, 'Mahmud Hermawan M.Farm', 'Psikologi', 422474921250036, 'mahmudhermawanm.farm@gmail.com', '67938 Lailasari Curve', 'P', '2021-11-29');
INSERT INTO Anggota (an_id, an_nama, an_jurusan, an_nrp, an_email, an_alamat, an_jenis_kelamin, an_tgl_regis) VALUES (37, 'Rita Purwanti', 'Teknik Mesin', 422474921250037, 'ritapurwanti@gmail.com', '041 Nashiruddin Shoal', 'L', '2022-02-04');
INSERT INTO Anggota (an_id, an_nama, an_jurusan, an_nrp, an_email, an_alamat, an_jenis_kelamin, an_tgl_regis) VALUES (38, 'Vicky Leilani', 'Teknik Mesin', 422474921250038, 'vickyleilani@gmail.com', '16510 Kara Summit', 'L', '2021-07-11');
INSERT INTO Anggota (an_id, an_nama, an_jurusan, an_nrp, an_email, an_alamat, an_jenis_kelamin, an_tgl_regis) VALUES (39, 'Ade Ardana', 'Teknik Industri', 422474921250039, 'adeardana@gmail.com', '78047 Elinore Route', 'L', '2022-08-26');
INSERT INTO Anggota (an_id, an_nama, an_jurusan, an_nrp, an_email, an_alamat, an_jenis_kelamin, an_tgl_regis) VALUES (40, 'Adinata Sihombing', 'Teknik Elektro', 422474921250040, 'adinatasihombing@gmail.com', '9714 Pradana Rapids', 'P', '2021-07-24');
INSERT INTO Anggota (an_id, an_nama, an_jurusan, an_nrp, an_email, an_alamat, an_jenis_kelamin, an_tgl_regis) VALUES (41, 'Digdaya Perdana', 'Teknik Mesin', 422474921250041, 'digdayaperdana@gmail.com', '5256 Megantara Islands', 'P', '2022-10-15');
INSERT INTO Anggota (an_id, an_nama, an_jurusan, an_nrp, an_email, an_alamat, an_jenis_kelamin, an_tgl_regis) VALUES (42, 'Aisyah Kuswandari', 'Biomedik', 422474921250042, 'aisyahkuswandari@gmail.com', '932 Isabella River', 'P', '2022-02-14');
INSERT INTO Anggota (an_id, an_nama, an_jurusan, an_nrp, an_email, an_alamat, an_jenis_kelamin, an_tgl_regis) VALUES (43, 'Jarwi Saefullah', 'Teknik Industri', 422474921250043, 'jarwisaefullah@gmail.com', '541 Nurlaela Court', 'L', '2022-08-22');
INSERT INTO Anggota (an_id, an_nama, an_jurusan, an_nrp, an_email, an_alamat, an_jenis_kelamin, an_tgl_regis) VALUES (44, 'Daru Napitupulu', 'Teknik Elektro', 422474921250044, 'darunapitupulu@gmail.com', '32260 Florian Ramp', 'P', '2021-09-06');
INSERT INTO Anggota (an_id, an_nama, an_jurusan, an_nrp, an_email, an_alamat, an_jenis_kelamin, an_tgl_regis) VALUES (45, 'Harjo Purwadi', 'Teknik Industri', 422474921250045, 'harjopurwadi@gmail.com', '65846 Sheldon Squares', 'P', '2022-06-03');
INSERT INTO Anggota (an_id, an_nama, an_jurusan, an_nrp, an_email, an_alamat, an_jenis_kelamin, an_tgl_regis) VALUES (46, 'Paiman Uwais', 'Teknik Elektro', 422474921250046, 'paimanuwais@gmail.com', '8633 Jamel Cove', 'P', '2022-08-09');
INSERT INTO Anggota (an_id, an_nama, an_jurusan, an_nrp, an_email, an_alamat, an_jenis_kelamin, an_tgl_regis) VALUES (47, 'Rosa Mustika S.T.', 'Teknik Informatika', 422474921250047, 'rosamustikas.t.@gmail.com', '34833 Namaga Square', 'P', '2020-12-05');
INSERT INTO Anggota (an_id, an_nama, an_jurusan, an_nrp, an_email, an_alamat, an_jenis_kelamin, an_tgl_regis) VALUES (48, 'Wani Saraswati', 'Teknik Mesin', 422474921250048, 'wanisaraswati@gmail.com', '75709 Utami Forges', 'L', '2020-11-25');
INSERT INTO Anggota (an_id, an_nama, an_jurusan, an_nrp, an_email, an_alamat, an_jenis_kelamin, an_tgl_regis) VALUES (35, 'Humaira Purnawati', 'Manajemen', 422474921250035, 'humairapurnawati@gmail.com', '7396 Waluyo Centers', 'L', '2022-03-26');
INSERT INTO Anggota (an_id, an_nama, an_jurusan, an_nrp, an_email, an_alamat, an_jenis_kelamin, an_tgl_regis) VALUES (50, 'Garda Pratama', 'Psikologi', 422474921250050, 'gardapratama@gmail.com', '259 Sitorus Mission', 'L', '2021-08-24');
INSERT INTO Anggota (an_id, an_nama, an_jurusan, an_nrp, an_email, an_alamat, an_jenis_kelamin, an_tgl_regis) VALUES (49, 'Kania Juwita', 'Manajemen', 422474921250049, 'kaniajuwita@gmail.com', '680 Salahudin Park', 'L', '2022-09-30');
INSERT INTO Anggota (an_id, an_nama, an_jurusan, an_nrp, an_email, an_alamat, an_jenis_kelamin, an_tgl_regis) VALUES (51, 'Patricia Pertiwi S.Pt', 'Sistem Informasi', 422474921250051, 'patriciapertiwis.pt@gmail.com', '72575 Rickey Locks', 'L', '2022-05-28');
INSERT INTO Anggota (an_id, an_nama, an_jurusan, an_nrp, an_email, an_alamat, an_jenis_kelamin, an_tgl_regis) VALUES (53, 'Karsa Gunarto', 'Sistem Informasi', 422474921250053, 'karsagunarto@gmail.com', '5418 Nababan Mills', 'L', '2021-05-04');
INSERT INTO Anggota (an_id, an_nama, an_jurusan, an_nrp, an_email, an_alamat, an_jenis_kelamin, an_tgl_regis) VALUES (54, 'Lasmanto Saputra', 'Kedokteran', 422474921250054, 'lasmantosaputra@gmail.com', '77448 Tarihoran Burgs', 'L', '2021-08-28');
INSERT INTO Anggota (an_id, an_nama, an_jurusan, an_nrp, an_email, an_alamat, an_jenis_kelamin, an_tgl_regis) VALUES (52, 'Soleh Abiputra', 'Teknik Elektro', 422474921250052, 'solehabiputra@gmail.com', '63329 Kusuma Camp', 'P', '2020-12-26');
INSERT INTO Anggota (an_id, an_nama, an_jurusan, an_nrp, an_email, an_alamat, an_jenis_kelamin, an_tgl_regis) VALUES (55, 'Putri Juwita S.Farm', 'Teknik Mesin', 422474921250055, 'putrijuwitas.farm@gmail.com', '1210 Preston Turnpike', 'P', '2022-04-21');
INSERT INTO Anggota (an_id, an_nama, an_jurusan, an_nrp, an_email, an_alamat, an_jenis_kelamin, an_tgl_regis) VALUES (56, 'Indira Mulyani', 'Teknik Mesin', 422474921250056, 'indiramulyani@gmail.com', '5236 Sudiati Crossroad', 'P', '2021-04-29');
INSERT INTO Anggota (an_id, an_nama, an_jurusan, an_nrp, an_email, an_alamat, an_jenis_kelamin, an_tgl_regis) VALUES (57, 'Septi Juwita', 'Manajemen', 422474921250057, 'septijuwita@gmail.com', '25774 Aubrey Curve', 'P', '2021-06-28');
INSERT INTO Anggota (an_id, an_nama, an_jurusan, an_nrp, an_email, an_alamat, an_jenis_kelamin, an_tgl_regis) VALUES (58, 'Hasna Maryati', 'Teknik Informatika', 422474921250058, 'hasnamaryati@gmail.com', '9313 Fredrick Green', 'P', '2020-12-15');
INSERT INTO Anggota (an_id, an_nama, an_jurusan, an_nrp, an_email, an_alamat, an_jenis_kelamin, an_tgl_regis) VALUES (60, 'Kani Farida', 'Psikologi', 422474921250060, 'kanifarida@gmail.com', '419 Shirley Locks', 'L', '2022-11-07');
INSERT INTO Anggota (an_id, an_nama, an_jurusan, an_nrp, an_email, an_alamat, an_jenis_kelamin, an_tgl_regis) VALUES (59, 'Cemplunk Samosir', 'Psikologi', 422474921250059, 'cemplunksamosir@gmail.com', '0172 Candida Mission', 'L', '2021-07-16');
INSERT INTO Anggota (an_id, an_nama, an_jurusan, an_nrp, an_email, an_alamat, an_jenis_kelamin, an_tgl_regis) VALUES (61, 'Lalita Melani', 'Biomedik', 422474921250061, 'lalitamelani@gmail.com', '4565 Serenity Common', 'L', '2022-02-14');
INSERT INTO Anggota (an_id, an_nama, an_jurusan, an_nrp, an_email, an_alamat, an_jenis_kelamin, an_tgl_regis) VALUES (63, 'Lintang Usamah', 'Sistem Informasi', 422474921250063, 'lintangusamah@gmail.com', '706 Yulianti Forge', 'P', '2021-10-26');
INSERT INTO Anggota (an_id, an_nama, an_jurusan, an_nrp, an_email, an_alamat, an_jenis_kelamin, an_tgl_regis) VALUES (64, 'Anggun Melinda S.E.I', 'Teknik Informatika', 422474921250064, 'anggunmelindas.e.i@gmail.com', '91049 Haley Plains', 'L', '2022-03-22');
INSERT INTO Anggota (an_id, an_nama, an_jurusan, an_nrp, an_email, an_alamat, an_jenis_kelamin, an_tgl_regis) VALUES (65, 'Kasiyah Puspita', 'Teknik Informatika', 422474921250065, 'kasiyahpuspita@gmail.com', '2977 Willie Glen', 'P', '2022-03-06');
INSERT INTO Anggota (an_id, an_nama, an_jurusan, an_nrp, an_email, an_alamat, an_jenis_kelamin, an_tgl_regis) VALUES (62, 'Almira Febrianti', 'Teknik Mesin', 422474921250062, 'almirafebrianti@gmail.com', '06681 Russel Common', 'P', '2021-03-05');
INSERT INTO Anggota (an_id, an_nama, an_jurusan, an_nrp, an_email, an_alamat, an_jenis_kelamin, an_tgl_regis) VALUES (66, 'Eman Ardianto', 'Teknik Elektro', 422474921250066, 'emanardianto@gmail.com', '1742 Brionna Lakes', 'P', '2022-02-15');
INSERT INTO Anggota (an_id, an_nama, an_jurusan, an_nrp, an_email, an_alamat, an_jenis_kelamin, an_tgl_regis) VALUES (67, 'Latif Aswandi S.Pd', 'Teknik Elektro', 422474921250067, 'latifaswandis.pd@gmail.com', '7110 Wulandari Square', 'L', '2022-07-26');
INSERT INTO Anggota (an_id, an_nama, an_jurusan, an_nrp, an_email, an_alamat, an_jenis_kelamin, an_tgl_regis) VALUES (68, 'Sabrina Pertiwi', 'Teknik Elektro', 422474921250068, 'sabrinapertiwi@gmail.com', '324 Darien Tunnel', 'P', '2021-03-31');
INSERT INTO Anggota (an_id, an_nama, an_jurusan, an_nrp, an_email, an_alamat, an_jenis_kelamin, an_tgl_regis) VALUES (70, 'Sartika Widiastuti', 'Biomedik', 422474921250070, 'sartikawidiastuti@gmail.com', '5031 Isidro Tunnel', 'L', '2022-10-05');
INSERT INTO Anggota (an_id, an_nama, an_jurusan, an_nrp, an_email, an_alamat, an_jenis_kelamin, an_tgl_regis) VALUES (69, 'Carub Nanda', 'Teknik Mesin', 422474921250069, 'carubnanda@gmail.com', '21615 Kale Shore', 'P', '2022-09-09');
INSERT INTO Anggota (an_id, an_nama, an_jurusan, an_nrp, an_email, an_alamat, an_jenis_kelamin, an_tgl_regis) VALUES (71, 'Vivi Anandya', 'Manajemen', 422474921250071, 'vivianandya@gmail.com', '814 Widiastuti Lodge', 'P', '2021-10-27');
INSERT INTO Anggota (an_id, an_nama, an_jurusan, an_nrp, an_email, an_alamat, an_jenis_kelamin, an_tgl_regis) VALUES (72, 'Dian Wastuti', 'Teknik Elektro', 422474921250072, 'dianwastuti@gmail.com', '2025 Kusuma Coves', 'L', '2021-09-30');
INSERT INTO Anggota (an_id, an_nama, an_jurusan, an_nrp, an_email, an_alamat, an_jenis_kelamin, an_tgl_regis) VALUES (73, 'Kemba Setiawan', 'Sistem Informasi', 422474921250073, 'kembasetiawan@gmail.com', '19081 Najmudin Falls', 'L', '2021-08-15');
INSERT INTO Anggota (an_id, an_nama, an_jurusan, an_nrp, an_email, an_alamat, an_jenis_kelamin, an_tgl_regis) VALUES (74, 'Suci Pertiwi', 'Teknik Industri', 422474921250074, 'sucipertiwi@gmail.com', '4419 Johanna Ranch', 'L', '2021-05-18');
INSERT INTO Anggota (an_id, an_nama, an_jurusan, an_nrp, an_email, an_alamat, an_jenis_kelamin, an_tgl_regis) VALUES (75, 'Ilsa Rahimah', 'Teknik Industri', 422474921250075, 'ilsarahimah@gmail.com', '741 Saptono Lock', 'L', '2021-03-05');
INSERT INTO Anggota (an_id, an_nama, an_jurusan, an_nrp, an_email, an_alamat, an_jenis_kelamin, an_tgl_regis) VALUES (76, 'Tri Aryani', 'Psikologi', 422474921250076, 'triaryani@gmail.com', '721 Darby Forest', 'L', '2022-01-09');
INSERT INTO Anggota (an_id, an_nama, an_jurusan, an_nrp, an_email, an_alamat, an_jenis_kelamin, an_tgl_regis) VALUES (77, 'Rosalina Yuniar M.TI.', 'Teknik Elektro', 422474921250077, 'rosalinayuniarm.ti.@gmail.com', '334 Sedrick Knoll', 'L', '2022-02-01');
INSERT INTO Anggota (an_id, an_nama, an_jurusan, an_nrp, an_email, an_alamat, an_jenis_kelamin, an_tgl_regis) VALUES (78, 'Anggun Suryatmi', 'Psikologi', 422474921250078, 'anggunsuryatmi@gmail.com', '7825 Usada Fall', 'P', '2022-01-06');
INSERT INTO Anggota (an_id, an_nama, an_jurusan, an_nrp, an_email, an_alamat, an_jenis_kelamin, an_tgl_regis) VALUES (79, 'Irwan Mansur S.Ked', 'Sistem Informasi', 422474921250079, 'irwanmansurs.ked@gmail.com', '75994 Anjani Estate', 'P', '2021-07-01');
INSERT INTO Anggota (an_id, an_nama, an_jurusan, an_nrp, an_email, an_alamat, an_jenis_kelamin, an_tgl_regis) VALUES (80, 'Edi Hutasoit', 'Kedokteran', 422474921250080, 'edihutasoit@gmail.com', '1798 Pudjiastuti Route', 'P', '2021-07-22');
INSERT INTO Anggota (an_id, an_nama, an_jurusan, an_nrp, an_email, an_alamat, an_jenis_kelamin, an_tgl_regis) VALUES (81, 'Reza Adhitama S.Kom', 'Biomedik', 422474921250081, 'rezaadhitamas.kom@gmail.com', '7709 Margaretta Summit', 'L', '2022-05-23');
INSERT INTO Anggota (an_id, an_nama, an_jurusan, an_nrp, an_email, an_alamat, an_jenis_kelamin, an_tgl_regis) VALUES (83, 'Ghaliyati Harini', 'Teknik Elektro', 422474921250083, 'ghaliyatiharini@gmail.com', '8755 Soledad Pine', 'L', '2022-04-30');
INSERT INTO Anggota (an_id, an_nama, an_jurusan, an_nrp, an_email, an_alamat, an_jenis_kelamin, an_tgl_regis) VALUES (84, 'Jefri Mahendra', 'Kedokteran', 422474921250084, 'jefrimahendra@gmail.com', '545 Kiana Fords', 'P', '2022-11-05');
INSERT INTO Anggota (an_id, an_nama, an_jurusan, an_nrp, an_email, an_alamat, an_jenis_kelamin, an_tgl_regis) VALUES (82, 'Nyoman Saefullah', 'Psikologi', 422474921250082, 'nyomansaefullah@gmail.com', '3065 Emmy Stravenue', 'L', '2021-12-31');
INSERT INTO Anggota (an_id, an_nama, an_jurusan, an_nrp, an_email, an_alamat, an_jenis_kelamin, an_tgl_regis) VALUES (87, 'Yusuf Prasetyo S.T.', 'Kedokteran', 422474921250087, 'yusufprasetyos.t.@gmail.com', '91272 Cory Corner', 'P', '2021-01-14');
INSERT INTO Anggota (an_id, an_nama, an_jurusan, an_nrp, an_email, an_alamat, an_jenis_kelamin, an_tgl_regis) VALUES (86, 'Banawi Sihotang', 'Manajemen', 422474921250086, 'banawisihotang@gmail.com', '38374 Widodo Villages', 'P', '2021-12-04');
INSERT INTO Anggota (an_id, an_nama, an_jurusan, an_nrp, an_email, an_alamat, an_jenis_kelamin, an_tgl_regis) VALUES (85, 'Harsaya Oktovian', 'Kedokteran', 422474921250085, 'harsayaoktovian@gmail.com', '5073 Aubree Loaf', 'L', '2021-08-21');
INSERT INTO Anggota (an_id, an_nama, an_jurusan, an_nrp, an_email, an_alamat, an_jenis_kelamin, an_tgl_regis) VALUES (88, 'Jamal Wasita S.Pt', 'Teknik Informatika', 422474921250088, 'jamalwasitas.pt@gmail.com', '978 Wastuti Mountains', 'L', '2021-12-28');
INSERT INTO Anggota (an_id, an_nama, an_jurusan, an_nrp, an_email, an_alamat, an_jenis_kelamin, an_tgl_regis) VALUES (89, 'Eli Widiastuti', 'Manajemen', 422474921250089, 'eliwidiastuti@gmail.com', '1038 Abdullah Station', 'L', '2022-08-28');
INSERT INTO Anggota (an_id, an_nama, an_jurusan, an_nrp, an_email, an_alamat, an_jenis_kelamin, an_tgl_regis) VALUES (90, 'Gamanto Sinaga', 'Teknik Elektro', 422474921250090, 'gamantosinaga@gmail.com', '21939 Giovanni Dale', 'P', '2021-03-29');
INSERT INTO Anggota (an_id, an_nama, an_jurusan, an_nrp, an_email, an_alamat, an_jenis_kelamin, an_tgl_regis) VALUES (92, 'Diana Rahayu S.Farm', 'Sistem Informasi', 422474921250092, 'dianarahayus.farm@gmail.com', '620 Nathania Village', 'L', '2021-12-14');
INSERT INTO Anggota (an_id, an_nama, an_jurusan, an_nrp, an_email, an_alamat, an_jenis_kelamin, an_tgl_regis) VALUES (91, 'Amalia Febrianti', 'Teknik Industri', 422474921250091, 'amaliafebrianti@gmail.com', '9185 Demetris Ramp', 'L', '2021-01-15');
INSERT INTO Anggota (an_id, an_nama, an_jurusan, an_nrp, an_email, an_alamat, an_jenis_kelamin, an_tgl_regis) VALUES (93, 'Jessica Melinda', 'Teknik Industri', 422474921250093, 'jessicamelinda@gmail.com', '0636 Josh Summit', 'P', '2021-10-22');
INSERT INTO Anggota (an_id, an_nama, an_jurusan, an_nrp, an_email, an_alamat, an_jenis_kelamin, an_tgl_regis) VALUES (94, 'Imam Suwarno', 'Teknik Mesin', 422474921250094, 'imamsuwarno@gmail.com', '40330 Megantara Overpass', 'P', '2022-11-08');
INSERT INTO Anggota (an_id, an_nama, an_jurusan, an_nrp, an_email, an_alamat, an_jenis_kelamin, an_tgl_regis) VALUES (95, 'Eka Azzahra S.Pt', 'Sistem Informasi', 422474921250095, 'ekaazzahras.pt@gmail.com', '446 Maya Gateway', 'L', '2022-10-31');
INSERT INTO Anggota (an_id, an_nama, an_jurusan, an_nrp, an_email, an_alamat, an_jenis_kelamin, an_tgl_regis) VALUES (97, 'Daryani Purwadi S.Kom', 'Kedokteran', 422474921250097, 'daryanipurwadis.kom@gmail.com', '084 Tarihoran Shoals', 'P', '2022-11-17');
INSERT INTO Anggota (an_id, an_nama, an_jurusan, an_nrp, an_email, an_alamat, an_jenis_kelamin, an_tgl_regis) VALUES (96, 'Kariman Dirgantara', 'Kedokteran', 422474921250096, 'karimandirgantara@gmail.com', '8863 Carlie Gateway', 'P', '2021-08-16');
